"","timestamp","lane","cross_x","cross_y"
"1",18,"BOT",12679.876056338,2272.12394366197
"2",18,"MID",7394.94774718398,7458.55225281602
"3",18,"TOP",2062.88677450048,12744.6132254995
"4",19,"BOT",12679.876056338,2272.12394366197
"5",19,"MID",7394.94774718398,7458.55225281602
"6",19,"TOP",2062.88677450048,12744.6132254995
"7",20,"BOT",12679.876056338,2272.12394366197
"8",20,"MID",7394.94774718398,7458.55225281602
"9",20,"TOP",2062.88677450048,12744.6132254995
"10",21,"BOT",12679.876056338,2272.12394366197
"11",21,"MID",7394.94774718398,7458.55225281602
"12",21,"TOP",2062.88677450048,12744.6132254995
"13",22,"BOT",12679.876056338,2272.12394366197
"14",22,"MID",7394.94774718398,7458.55225281602
"15",22,"TOP",2062.88677450048,12744.6132254995
"16",23,"BOT",12679.876056338,2272.12394366197
"17",23,"MID",7394.94774718398,7458.55225281602
"18",23,"TOP",2062.88677450048,12744.6132254995
"19",24,"BOT",12679.876056338,2272.12394366197
"20",24,"MID",7394.94774718398,7458.55225281602
"21",24,"TOP",2062.88677450048,12744.6132254995
"22",25,"BOT",12679.876056338,2272.12394366197
"23",25,"MID",7394.94774718398,7458.55225281602
"24",25,"TOP",2062.88677450048,12744.6132254995
"25",26,"BOT",12679.876056338,2272.12394366197
"26",26,"MID",7394.94774718398,7458.55225281602
"27",26,"TOP",2062.88677450048,12744.6132254995
"28",27,"BOT",12679.876056338,2272.12394366197
"29",27,"MID",7394.94774718398,7458.55225281602
"30",27,"TOP",2062.88677450048,12744.6132254995
"31",28,"BOT",12679.876056338,2272.12394366197
"32",28,"MID",7394.94774718398,7458.55225281602
"33",28,"TOP",2062.88677450048,12744.6132254995
"34",29,"BOT",12679.876056338,2272.12394366197
"35",29,"MID",7394.94774718398,7458.55225281602
"36",29,"TOP",2062.88677450048,12744.6132254995
"37",30,"BOT",12679.876056338,2272.12394366197
"38",30,"MID",7394.94774718398,7458.55225281602
"39",30,"TOP",2062.88677450048,12744.6132254995
"40",31,"BOT",12679.876056338,2272.12394366197
"41",31,"MID",7394.94774718398,7458.55225281602
"42",31,"TOP",2062.88677450048,12744.6132254995
"43",32,"BOT",12679.876056338,2272.12394366197
"44",32,"MID",7394.94774718398,7458.55225281602
"45",32,"TOP",2062.88677450048,12744.6132254995
"46",33,"BOT",12679.876056338,2272.12394366197
"47",33,"MID",7394.94774718398,7458.55225281602
"48",33,"TOP",2062.88677450048,12744.6132254995
"49",34,"BOT",12679.876056338,2272.12394366197
"50",34,"MID",7394.94774718398,7458.55225281602
"51",34,"TOP",2062.88677450048,12744.6132254995
"52",35,"BOT",12679.876056338,2272.12394366197
"53",35,"MID",7394.94774718398,7458.55225281602
"54",35,"TOP",2062.88677450048,12744.6132254995
"55",36,"BOT",12679.876056338,2272.12394366197
"56",36,"MID",7394.94774718398,7458.55225281602
"57",36,"TOP",2062.88677450048,12744.6132254995
"58",37,"BOT",12679.876056338,2272.12394366197
"59",37,"MID",7394.94774718398,7458.55225281602
"60",37,"TOP",2062.88677450048,12744.6132254995
"61",38,"BOT",12679.876056338,2272.12394366197
"62",38,"MID",7394.94774718398,7458.55225281602
"63",38,"TOP",2062.88677450048,12744.6132254995
"64",39,"BOT",12679.876056338,2272.12394366197
"65",39,"MID",7394.94774718398,7458.55225281602
"66",39,"TOP",2062.88677450048,12744.6132254995
"67",40,"BOT",12679.876056338,2272.12394366197
"68",40,"MID",7394.94774718398,7458.55225281602
"69",40,"TOP",2062.88677450048,12744.6132254995
"70",41,"BOT",12679.876056338,2272.12394366197
"71",41,"MID",7394.94774718398,7458.55225281602
"72",41,"TOP",2062.88677450048,12744.6132254995
"73",42,"BOT",12679.876056338,2272.12394366197
"74",42,"MID",7394.94774718398,7458.55225281602
"75",42,"TOP",2062.88677450048,12744.6132254995
"76",43,"BOT",12679.876056338,2272.12394366197
"77",43,"MID",7394.94774718398,7458.55225281602
"78",43,"TOP",2062.88677450048,12744.6132254995
"79",44,"BOT",12679.876056338,2272.12394366197
"80",44,"MID",7394.94774718398,7458.55225281602
"81",44,"TOP",2062.88677450048,12744.6132254995
"82",45,"BOT",12679.876056338,2272.12394366197
"83",45,"MID",7394.94774718398,7458.55225281602
"84",45,"TOP",2062.88677450048,12744.6132254995
"85",46,"BOT",12679.876056338,2272.12394366197
"86",46,"MID",7394.94774718398,7458.55225281602
"87",46,"TOP",2062.88677450048,12744.6132254995
"88",47,"BOT",12679.876056338,2272.12394366197
"89",47,"MID",7394.94774718398,7458.55225281602
"90",47,"TOP",2062.88677450048,12744.6132254995
"91",48,"BOT",12679.876056338,2272.12394366197
"92",48,"MID",7394.94774718398,7458.55225281602
"93",48,"TOP",2062.88677450048,12744.6132254995
"94",49,"BOT",12679.876056338,2272.12394366197
"95",49,"MID",7394.94774718398,7458.55225281602
"96",49,"TOP",2062.88677450048,12744.6132254995
"97",50,"BOT",12679.876056338,2272.12394366197
"98",50,"MID",7394.94774718398,7458.55225281602
"99",50,"TOP",2062.88677450048,12744.6132254995
"100",51,"BOT",12679.876056338,2272.12394366197
"101",51,"MID",7394.94774718398,7458.55225281602
"102",51,"TOP",2062.88677450048,12744.6132254995
"103",52,"BOT",12679.876056338,2272.12394366197
"104",52,"MID",7394.94774718398,7458.55225281602
"105",52,"TOP",2062.88677450048,12744.6132254995
"106",53,"BOT",12679.876056338,2272.12394366197
"107",53,"MID",7394.94774718398,7458.55225281602
"108",53,"TOP",2062.88677450048,12744.6132254995
"109",54,"BOT",12679.876056338,2272.12394366197
