video;frame;timestamp;lol_x;lol_y;confidence;class
14-15_replay_riot_2724423_1_01.webm;frame_0001.png;18;6617,790003;869,343513;0,375740618;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0001.png;18;6906,661469;878,9711986;0,268200666;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0001.png;18;13360,21365;7642,627635;0,254834235;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0002.png;19;13360,42431;7642,547069;0,255700946;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0003.png;20;13359,18041;7643,067196;0,266129553;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0004.png;21;4867,56143;628,5862104;0,548716903;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0004.png;21;6616,321918;868,3044434;0,332611471;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0004.png;21;3048,31168;1203,320887;0,308742285;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0004.png;21;13359,33339;7642,996108;0,261075288;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0005.png;22;10213,91274;13081,06355;0,313764274;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0005.png;22;13359,98064;7642,775735;0,263734937;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0006.png;23;10215,60501;13081,2309;0,343760967;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0006.png;23;5688,228004;5816,406394;0,267493099;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0006.png;23;13359,16864;7642,968858;0,259411693;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0007.png;24;10214,38818;13082,14971;0,34901607;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0007.png;24;13358,63907;7643,410788;0,272201866;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0008.png;25;10215,50851;13081,78776;0,34156698;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0008.png;25;13358,86266;7642,699908;0,252765834;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0009.png;26;10214,93305;13081,54606;0,329622984;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0010.png;27;13425,93208;13356,12081;0,355981171;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0010.png;27;6621,483457;871,2901396;0,290720493;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0011.png;28;6623,58938;869,7285731;0,387560159;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0011.png;28;13426,17686;13356,12437;0,344291687;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0011.png;28;6715,975174;1061,529936;0,277331203;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0012.png;29;6623,350485;869,6705179;0,384374589;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0012.png;29;13426,28513;13356,20982;0,349829972;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0012.png;29;13357,64348;7642,479535;0,275994539;Red Side
